codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint
66596;656;ZOCCA DON STRADI;VIA DON STRADI;ZOCCA;446;FUORI BOLOGNA;44.347107, 10.995452
66597;;ZOCCA;VIA TESI FR 1209;ZOCCA;446;FUORI BOLOGNA;44.345209, 10.994873
66599;656;ZOCCA AUSL;VIA VERDI FR. CIV. 119;ZOCCA;446;FUORI BOLOGNA;44.344015, 10.998232
66600;656;ZOCCA AUSL;VIALE VERDI FR 70;ZOCCA;446;FUORI BOLOGNA;44.343895, 10.998429
68001;646;CALCARA CHIESA;VIA MAZZINI 64;CALCARA;561;FUORI BOLOGNA;44.548222, 11.129301
68006;646;CALCARA CASTEL DELLA PIET;VIA FERRARI FR 14;CRESPELLANO;561;FUORI BOLOGNA;44.548712, 11.12281
68010;646;FOSSA VECCHIA;VIA BELFIORE FR 15;CASTELFRANCO EMILIA;441;FUORI BOLOGNA;44.550742, 11.113353
68021;646;DUE PILASTRI;VIA PIUMAZZO 59;CASTELFRANCO EMILIA;441;FUORI BOLOGNA;44.54636, 11.084303
68022;646;DUE PILASTRI;VIA PIUMAZZO 54;CASTELFRANCO EMILIA;441;FUORI BOLOGNA;44.546412, 11.084922
68031;;CALIFORNIA;VIA MUZZA CORONA 184;BAZZANO;558;FUORI BOLOGNA;44.532143, 11.059644
68037;646;SAN CESARIO CASE NUOVE;VIA BOSCHETTI FR 732;SAN CESARIO SUL PANARO;441;FUORI BOLOGNA;44.554649, 11.045619
68050;646;SANT`ADRIANO;VIA PER SPILAMBERTO FR 1982;SAN CESARIO SUL PANARO;441;FUORI BOLOGNA;44.538687, 11.036588
68054;646;ALTOLA` BIVIO MAGAZZINO;VIA MARTIRI ARTIOLI 400;ALTOLA`;442;FUORI BOLOGNA;44.533251, 11.035505
68073;646;MAGAZZINO;VIA MAGAZZINO 30;BAZZANO;442;FUORI BOLOGNA;44.518679, 11.057408
68505;656;Z.I. CASSOLA CASEIFICIO V;VIA CASSOLA FR BV DI VAGNO;BAZZANO;558;FUORI BOLOGNA;44.498183, 11.106623
68602;654;MONTEVEGLIO PONTE ROSSO;VIA DEI PONTI 25;MONTEVEGLIO;559;FUORI BOLOGNA;44.473291, 11.101741
68605;654;CASETTO SCUOLE;VIA STIORE 4/1;MONTEVEGLIO;559;FUORI BOLOGNA;44.473397, 11.111615
68606;654;CASETTO SCUOLE;VIA STIORE FR 4/1;MONTEVEGLIO;559;FUORI BOLOGNA;44.473487, 11.111618
68609;654;STIORE;VIA STIORE FR 23;MONTEVEGLIO;559;FUORI BOLOGNA;44.472683, 11.117574
68614;654;MOLINO PONTE;VIA PALAZZETTO 3;MONTEVEGLIO;560;FUORI BOLOGNA;44.468726, 11.118336
68617;654;MOLINO BOTTI;VIA RODA 12;MONTE SAN PIETRO;560;FUORI BOLOGNA;44.463553, 11.121065
68617;658;MOLINO BOTTI;VIA RODA 12;MONTE SAN PIETRO;560;FUORI BOLOGNA;44.463553, 11.121065
68618;658;MOLINO BOTTI;VIA RODA FR 12;MONTE SAN PIETRO;560;FUORI BOLOGNA;44.46356, 11.121166
68622;658;MOLINO BORZAGA;VIA RODA 15;MONTE SAN PIETRO;560;FUORI BOLOGNA;44.458406, 11.118465
68625;654;MOLINO CAVARA;VIA FAGNANO FR 1378;CASTELLO DI SERRAVALLE;560;FUORI BOLOGNA;44.449455, 11.119574
68626;654;MOLINO CAVARA;VIA FAGNANO 1378;CASTELLO DI SERRAVALLE;560;FUORI BOLOGNA;44.449454, 11.119662
68630;654;CA` ADUA;VIA FAGNANO 628;FAGNANO;560;FUORI BOLOGNA;44.442947, 11.118057
68633;658;FAGNANO;VIA FAGNANO 163;CASTELLO DI SERRAVALLE;560;FUORI BOLOGNA;44.438907, 11.116969
68634;658;FAGNANO;VIA FAGNANO FR 163;FAGNANO;560;FUORI BOLOGNA;44.438858, 11.117193
