quartiere;tipologia;nome;anno;tipo;indirizzo;id;delibera;label1;label2;classific;nome_compl;isabella;faldone;sed_comm;nome_label;dati_anagr;url;geo_point_2d;geo_shape
Borgo Panigale - Reno;Giardino;Teresa Noce;1990-01-22;Aree verdi (40);via del Beccaccino;59;Delibera del Consiglio Comunale 22 gennaio 1990;Giardino Teresa Noce;Noce;Sindacalista e antifascista;Teresa Noce;;9 - Delibere dal 1987 al 1990;6 novembre 1989;Teresa Noce;Torino, 1900 - Bologna, 1980;https://drive.google.com/uc?export=download&id=1UjL4SHjW_qTpB2_M6PllkwZX8PxAMXHv;44.4940274954, 11.2911206205;"{""coordinates"": [[[[11.291145316306942, 44.493528156416644], [11.291008663772324, 44.49357382445467], [11.291046574515192, 44.49364239572086], [11.290874831618014, 44.493697844375035], [11.290780671108587, 44.49354216139443], [11.290752322281053, 44.49354903247559], [11.290707922173674, 44.49347199565471], [11.290504759661449, 44.49354555417514], [11.290431423765819, 44.49342534136482], [11.29030187441122, 44.49322365555058], [11.290302408717348, 44.49322322503416], [11.290425989635674, 44.49312737645399], [11.29044122559943, 44.49311814012931], [11.290505931795812, 44.49309526789415], [11.290269838912849, 44.49274674754225], [11.290597967098329, 44.49263635633031], [11.290584387371313, 44.49259604634673], [11.290412414657823, 44.49254719191201], [11.290130278229979, 44.49246783460723], [11.290122627156432, 44.492469068456494], [11.290119457159197, 44.492471037082225], [11.290119237823395, 44.49247096401168], [11.290119185457163, 44.49247097934901], [11.290054733362709, 44.492490624223734], [11.289957519979694, 44.49256144369336], [11.289936356571614, 44.492586266837485], [11.289903186400126, 44.49265608904207], [11.289902899303002, 44.49265671624637], [11.289941434782738, 44.49273815197594], [11.28998124822343, 44.49280229411113], [11.289992352771097, 44.49282018417915], [11.289993082844525, 44.49282136130446], [11.290024451858207, 44.49288433501088], [11.29021623784998, 44.493205700929934], [11.290324368868626, 44.493381015261114], [11.29034528602103, 44.49340100941606], [11.2903576421084, 44.493422721646645], [11.290425012340162, 44.49352706001907], [11.290492381241062, 44.493631397277994], [11.290552089066534, 44.49373588778373], [11.29062372052562, 44.49385112035367], [11.290633316955352, 44.49386671587021], [11.290765722257317, 44.49382310504598], [11.29078467272652, 44.493819679910956], [11.290821923843701, 44.49389253875609], [11.290966276493714, 44.49414375510457], [11.291701956253258, 44.495297610095655], [11.292195400055833, 44.49513888767928], [11.29159638759687, 44.49419309613259], [11.291550547042393, 44.4941448638749], [11.291505234805074, 44.49412301600957], [11.291288325724995, 44.49377542894304], [11.291145434507245, 44.493528351848624], [11.291145316306942, 44.493528156416644]]]], ""type"": ""MultiPolygon""}"
Navile;Giardino;Giulietta Masina;2014-01-21;Aree verdi (40);via Torreggiani;50;Delibera di Giunta 21 gennaio 2014;Giardino Giulietta Masina;Masina;Attrice;Giulia Anna Masina;;29 - Delibere del 2014;28 novembre 2012 e 14 ottobre 2013;Giulietta Masina;San Giorgio di Piano (BO), 1921 - Roma, 1994;https://drive.google.com/uc?export=download&id=1wWYCiczLq-dzHqy70xmA0ec6kmUHCsP_;44.5125759444, 11.3484266605;"{""coordinates"": [[[[11.347977127921597, 44.51269830542201], [11.348093621471262, 44.51295017509517], [11.348391132172827, 44.51291775348138], [11.348341515836301, 44.51281895452392], [11.348488455367235, 44.5127852135393], [11.348561984149852, 44.51276282133625], [11.348513055005053, 44.51266178903408], [11.34856844676823, 44.512644597237106], [11.348541668239152, 44.51257635617083], [11.348889295988377, 44.512494675315196], [11.348931680829379, 44.512592403695976], [11.349047587096972, 44.51256593904066], [11.348997188253776, 44.51243893126586], [11.348929515706304, 44.512246601105126], [11.348003454667996, 44.51247307558809], [11.347974990516818, 44.51248928592391], [11.347973385227954, 44.512493728382815], [11.34796446013974, 44.51250682165367], [11.347963335423975, 44.512521597805616], [11.347965768388445, 44.512539373858885], [11.347975512047299, 44.512568067207056], [11.348032489105579, 44.51268430303125], [11.347977127921597, 44.51269830542201]]]], ""type"": ""MultiPolygon""}"
Navile;Giardino;Medea Zanardi;2012-05-08;Aree verdi (40);via Molino di Pescarola;101;Delibera di Giunta 8 maggio 2012;Giardino Medea Zanardi;Zanardi;Ostetrica di guerra;Medea Zanardi;;27 - Delibere del 2012;1 marzo 2012;Medea Zanardi;Bologna, 1894-1974;https://drive.google.com/uc?export=download&id=1cQl61SDjsCX0fS4tseaF5H4Z1k1BpW1n;44.5251116177, 11.3209505258;"{""coordinates"": [[[[11.321321433519422, 44.52473329508162], [11.321274424044734, 44.52459219509195], [11.321226883534028, 44.524504219352806], [11.32064338889826, 44.52471369221514], [11.320419405592123, 44.52437192897611], [11.320309446438639, 44.52440006554734], [11.320442465536297, 44.52465653137196], [11.32046244455331, 44.524693166192925], [11.32050865278312, 44.524800155359245], [11.32099459719327, 44.52577098359685], [11.321115955373912, 44.526014227402115], [11.32143179510873, 44.52591404664765], [11.320900340829946, 44.52507753897209], [11.321384445370779, 44.52490071871313], [11.321321433519422, 44.52473329508162]]]], ""type"": ""MultiPolygon""}"
Santo Stefano;Giardino;Santa Teresa Verzeri;2002-03-05;Aree verdi (40);Piazza del Baraccano;96;Delibera di Giunta 5 marzo 2002;Giardino Santa Teresa Verzeri;Verzeri;Santa, fondatrice di un ordine religioso;Teresa Eustochio Verzeri;;17 - Delibere del 2002;4 luglio 2001;Santa Teresa Verzeri;Bergamo, 1801 - Brescia, 1852;https://drive.google.com/uc?export=download&id=11ND4l4z7m_fUNSfQf7D6p5OaGO-NFlwc;44.4854829156, 11.3539546273;"{""coordinates"": [[[[11.354154104302838, 44.485294131789274], [11.354104944758022, 44.48522477998901], [11.35395720432805, 44.48527845127243], [11.354113554457436, 44.48565116452073], [11.354349823728954, 44.48546939131376], [11.354154104302838, 44.485294131789274]]], [[[11.35398518433584, 44.485673048076016], [11.353844239060884, 44.485334440028836], [11.353565357334222, 44.48542603534528], [11.353676185407542, 44.48553426818934], [11.353625642309702, 44.485563155284105], [11.353715616791284, 44.485642805897086], [11.353816169694689, 44.48572922635692], [11.35398518433584, 44.485673048076016]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Rotonda;Sabina Santilli;2015-03-10;Strade (74);via Crocione, via Lungosavena, via Bargello, via Alberoni;87;Delibera di Giunta 10 marzo 2015;Rotonda Sabina Santilli;Santilli;Educatrice;Sabina Santilli;SI;30 - Delibere del 2014-2015;21 gennaio 2015;Sabina Santilli;San Benedetto dei Marsi (AQ), 1917-1999;https://drive.google.com/uc?export=download&id=1fWAT55X6_bKaeMU0z5cd9_bdMaDx-x35;44.5134035886, 11.4327945659;"{""coordinates"": [[[[11.432069693353132, 44.513726754418535], [11.432094774130166, 44.51375560148717], [11.432119019943004, 44.51377527291142], [11.432149106834881, 44.51379731678843], [11.432181907458242, 44.51381757792135], [11.432217309392637, 44.513836354454384], [11.432248372523642, 44.51385201450949], [11.432274215644515, 44.51386307510789], [11.432301758888634, 44.51387499265189], [11.432325159055086, 44.5138838578322], [11.432352390768747, 44.51389177708285], [11.432383551849464, 44.51390064011917], [11.432410872196126, 44.513907203171534], [11.432436847832882, 44.51391196422283], [11.43247163753729, 44.513917519043325], [11.432500949900602, 44.51392195545513], [11.432526713075676, 44.51392509796747], [11.432556003663336, 44.51392752551965], [11.432583193575578, 44.5139277640605], [11.432620185741937, 44.513927165732945], [11.432652954437021, 44.5139257168291], [11.432687164953332, 44.51392402238545], [11.432724820565477, 44.51392017052549], [11.43275395105581, 44.513916634844946], [11.432794159236872, 44.51390973589667], [11.43283718673307, 44.513900586472715], [11.432867490596358, 44.51389325284836], [11.432942466512564, 44.51387071131271], [11.433014747429082, 44.51384819108469], [11.433258222735434, 44.513768842002335], [11.433284768739341, 44.51375908388562], [11.433313387241816, 44.51374686176639], [11.43333673619115, 44.51373572643531], [11.433364706133075, 44.51372269262015], [11.433392003043997, 44.51370871226751], [11.43341301611783, 44.51369694196172], [11.433439895454917, 44.513679703565785], [11.433461651437243, 44.5136625663224], [11.433478842430187, 44.51364694744764], [11.433505957742348, 44.51361822634269], [11.433527757693037, 44.51359215611798], [11.433543598049408, 44.513571251489125], [11.433561964770341, 44.51354547998564], [11.433579117217231, 44.51351772249426], [11.433590393677196, 44.513495938656526], [11.43360100621186, 44.51347581088775], [11.433608135835662, 44.51345517465824], [11.433612684046597, 44.513436499001024], [11.433617445887501, 44.51341496053606], [11.433619927396649, 44.51338995745504], [11.433620543932873, 44.51335667030325], [11.43361842262958, 44.51332186793628], [11.433613184757546, 44.51328296457206], [11.433606564752646, 44.51325190324408], [11.433597656292246, 44.51322184348808], [11.433583592659824, 44.51318882188776], [11.433568497102032, 44.5131618071585], [11.43354763536131, 44.51312954193198], [11.43353255511331, 44.51310808854919], [11.433511063781957, 44.513082684637844], [11.433482955934753, 44.513056149953066], [11.433451678115258, 44.51303155027626], [11.43342128131232, 44.51300650345579], [11.433389790452118, 44.512984280257065], [11.433364278986232, 44.512966632111336], [11.433333742460821, 44.51294911179715], [11.433303698181387, 44.51293808150829], [11.43326900568971, 44.51292834130187], [11.433213193487944, 44.51291200600249], [11.433161467956355, 44.5128983607717], [11.433109021407596, 44.51288850378681], [11.433052605357123, 44.51288095373467], [11.433005877062325, 44.51287688893061], [11.432952512420004, 44.5128754666204], [11.43289080229474, 44.51287934330991], [11.43283309855472, 44.512885635488516], [11.43278291434479, 44.51289450642467], [11.43272617302517, 44.51290792364875], [11.432636106866765, 44.51293431818573], [11.432557217524165, 44.51295839016429], [11.432427783815413, 44.51300340871509], [11.43232995461594, 44.513039039522944], [11.432278438659933, 44.51306116994983], [11.432233575189537, 44.5130827774073], [11.432201572841509, 44.513101871660254], [11.432175145983313, 44.51311856042492], [11.432150735369154, 44.51313370561271], [11.432128136838651, 44.51315126549042], [11.432097487350076, 44.513182002056695], [11.432072482476787, 44.51321126059783], [11.432050572563181, 44.51323850000926], [11.432028297696474, 44.5132693676473], [11.432013450508293, 44.51329674229536], [11.43200023890229, 44.513323224595396], [11.431990410921271, 44.51334782452945], [11.431981656181573, 44.513372083997666], [11.43197540910661, 44.51339794143495], [11.431971113325512, 44.51342302682858], [11.431970242362624, 44.513443753815], [11.431970005801846, 44.51346514670573], [11.431971455696448, 44.51348798179302], [11.431976389267717, 44.51352253288886], [11.43198348184263, 44.513560968047656], [11.431992116531553, 44.51359086703441], [11.432005427165556, 44.51362273855905], [11.432020881958088, 44.51365813717987], [11.43203912332145, 44.513688105259355], [11.432069693353132, 44.513726754418535]]]], ""type"": ""MultiPolygon""}"
Porto - Saragozza;Giardino;Graziella Fava;1979-11-26;Aree verdi (40);via Milazzo;30;Delibera del Consiglio Comunale 26 novembre 1979;Giardino Graziella Fava;Fava;Vittima dei terroristi;Graziella Fava;SI;6 - Delibere dal 1977 al 1979;12 novembre 1979;Graziella Fava;Pianoro (BO), 1929 - Bologna, 1979;https://drive.google.com/uc?export=download&id=1syjr_suUBGQUf4ERd0ytP-6KrSBCIege;44.5042730648, 11.3377707751;"{""coordinates"": [[[[11.338102441819096, 44.50447054501473], [11.338256396921652, 44.504256540418176], [11.338351673825514, 44.50412410005263], [11.338438547087838, 44.50411806837077], [11.338558751843339, 44.50393070075803], [11.338561204746979, 44.503868307723316], [11.338546308980881, 44.50384240080069], [11.3385099663547, 44.50384952153101], [11.336884469857583, 44.504104423172805], [11.336832089054587, 44.50411260795877], [11.336794307240035, 44.50412724557611], [11.336789007406574, 44.50413626662982], [11.336784685099794, 44.504157150492496], [11.336791009632218, 44.5041706146489], [11.336799005585602, 44.50417762739148], [11.336808549692378, 44.50418456895268], [11.33685862334502, 44.50420992023968], [11.338179419063756, 44.50488152842842], [11.338372247950833, 44.504852819423434], [11.33824824047276, 44.504753322403296], [11.338115983969754, 44.504663945035034], [11.33804495630965, 44.504604008761035], [11.338040217436927, 44.504557038935445], [11.338102441819096, 44.50447054501473]]]], ""type"": ""MultiPolygon""}"
Santo Stefano;Giardino;Maria Montessori;2018-03-06;Aree verdi (40);via Laura Bassi Veratti;55;Delibera di Giunta 6 marzo 2018;Giardino Maria Montessori;Montessori;Educatrice, pedagogista, filosofa, medico;Maria Tecla Artemisia Montessori;;32 - Delibere del 2017;29 novembre 2017;Maria Montessori;Chiaravalle (AN), 1870 - Noordwijk (Olanda), 1952;https://drive.google.com/uc?export=download&id=1INmce_vM1ls1Y6TtC8a5rdVZ1RKCOcwJ;44.4829028984, 11.3677437273;"{""coordinates"": [[[[11.36733904674873, 44.48276376945632], [11.367341435135003, 44.48277095317318], [11.367650947051473, 44.48321005778714], [11.368131458455956, 44.48303047836184], [11.367813576927569, 44.48259280925461], [11.36769652616029, 44.48263697398131], [11.367696256933458, 44.482637575021116], [11.367709399560589, 44.48265574979317], [11.367656745487803, 44.48267529023426], [11.367632220039921, 44.482644897560085], [11.367514238062624, 44.482687750389964], [11.36751857246102, 44.482696232127395], [11.367509460358882, 44.482701183294374], [11.36733904674873, 44.48276376945632]], [[11.367460333873534, 44.482909282966254], [11.367375078324521, 44.482775746429134], [11.367438369862391, 44.48275498775651], [11.367523754796355, 44.48288861157865], [11.367460333873534, 44.482909282966254]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Via;Ada Negri;1968-07-15;Strade (74);da via Casini a via Campana;58;Delibera del Consiglio Comunale 15 luglio 1968;Via Ada Negri;Negri;Poetessa e prosatrice;Ada Negri;;4 - Delibere dal 1966 al 1970;19 giugno 1968;Ada Negri;Lodi (MI), 1870 - Milano, 1945;https://drive.google.com/uc?export=download&id=1SNzYDCpHtmQu7GLR0BHnd6Vxb9_6dGJm;44.5124518508, 11.3958092049;"{""coordinates"": [[[[11.394616795984799, 44.5112532065298], [11.394614640240466, 44.51125331570488], [11.394612542443456, 44.51125368736255], [11.39461056454117, 44.51125431052784], [11.39460876494055, 44.511255166798875], [11.394607196783346, 44.511256230890154], [11.394605906376851, 44.511257471379366], [11.394604931826459, 44.51125885163517], [11.39460430191042, 44.51126033089899], [11.394604035230017, 44.51126186548848], [11.394604139660288, 44.51126341008765], [11.394604612117465, 44.51126491908484], [11.395104803825445, 44.5123963837847], [11.395105154759815, 44.51239707697745], [11.39510535161038, 44.512397401970645], [11.395131383424639, 44.51243825717968], [11.395132210866347, 44.51243934962771], [11.39513324076455, 44.512440350085186], [11.39517109709449, 44.51247224257433], [11.395172095009137, 44.512472990884625], [11.395173205215977, 44.51247365327903], [11.395216587932108, 44.51249660593961], [11.395260051283858, 44.51252171187156], [11.395261535920673, 44.51252244939133], [11.395354519031672, 44.51256190747509], [11.395355314285231, 44.51256221880314], [11.396094054869776, 44.51282566276631], [11.396094743762868, 44.51282588950869], [11.396245625281278, 44.51287180113077], [11.39624594550562, 44.512871894955055], [11.396246982679358, 44.51287215064464], [11.39650865601503, 44.512927458868255], [11.39650978910088, 44.512927656495556], [11.396711872603644, 44.51295568766043], [11.39671259558663, 44.51295577192222], [11.397723155542383, 44.51305266315564], [11.397725229891439, 44.513052738313405], [11.397727293240665, 44.51305256814154], [11.397729289305774, 44.513052157282004], [11.397731163637856, 44.513051516942305], [11.39773286510866, 44.51305066458967], [11.397734347305269, 44.51304962347469], [11.397735569796161, 44.513048421997055], [11.397736499234103, 44.51304709293076], [11.397737110265801, 44.51304567253028], [11.397737386223483, 44.51304419954144], [11.397737319579575, 44.51304271414456], [11.39773691215202, 44.513041256858514], [11.397736175054696, 44.51303986743526], [11.397735128394245, 44.51303858377568], [11.397733800721594, 44.513037440895545], [11.397732228253153, 44.51303646997047], [11.397730453882884, 44.51303569748541], [11.397728526012243, 44.513035144512344], [11.397726497229874, 44.51303482613529], [11.396716279134246, 44.512937968408316], [11.396515195011101, 44.51291007504901], [11.396254816126278, 44.5128550402025], [11.396104911359123, 44.51280942676203], [11.395366974406649, 44.51254626984429], [11.395275136948191, 44.5125072970632], [11.395232165843193, 44.512482472564], [11.395231815395116, 44.512482278270895], [11.395231743188747, 44.512482240225964], [11.395189333073876, 44.5124598039712], [11.395153546306238, 44.51242965542591], [11.395128544565763, 44.512390419280436], [11.394628590233932, 44.511259491468294], [11.394627855411894, 44.511258190150706], [11.394626846627416, 44.51125698647191], [11.394625588441937, 44.511255909738516], [11.394624111489193, 44.511254986166335], [11.394622451729367, 44.51125423824209], [11.394620649573538, 44.51125368417589], [11.39461874889977, 44.51125333745789], [11.394616795984799, 44.5112532065298]]]], ""type"": ""MultiPolygon""}"
Santo Stefano;Via;Adelaide Borghi Mamo;1959-04-17;Strade (74);da via Siepelunga a via Varthema;14;Delibera del Consiglio Comunale 17 aprile 1959;Via Adelaide Borghi Mamo;Borghi Mamo;Cantante lirica;Adelaide Borghi Mamo;SI;2 - Delibere dal 1947 al 1959;25 ottobre 1958;Adelaide Borghi Mamo;Bologna, 1829-1901;https://drive.google.com/uc?export=download&id=1I5TVqI7UINk4QFA4FHGNPmrU39ZvKM6d;44.4766835628, 11.3618224879;"{""coordinates"": [[[[11.363631883762299, 44.47573271066578], [11.363629869582184, 44.47573280397962], [11.363627902255535, 44.47573312700797], [11.36362603255082, 44.47573367141482], [11.363624308717302, 44.475734423151316], [11.362043923064617, 44.476554597482064], [11.36204383740218, 44.47655464266338], [11.360994237446958, 44.4771091488773], [11.360455551928572, 44.477385417517304], [11.360001249090912, 44.47761324950439], [11.359999572151487, 44.477614258340445], [11.359998165309854, 44.477615460303134], [11.359997071296304, 44.477616818885], [11.35999632333955, 44.47761829282158], [11.359995944157445, 44.47761983734471], [11.359995945267002, 44.47762140554227], [11.359996326634546, 44.47762294978311], [11.359997076676752, 44.47762442316367], [11.359998172612464, 44.47762578093265], [11.359999581154618, 44.47762698185027], [11.360001259521283, 44.47762798944078], [11.360003156735091, 44.47762877310046], [11.360005215171569, 44.47762930902704], [11.360007372309386, 44.47762958094266], [11.360009562629342, 44.47762958058842], [11.360011719604373, 44.47762930797509], [11.36001377772022, 44.47762877138276], [11.360015674465291, 44.477627987109514], [11.360470081136391, 44.47740010236627], [11.360470182616073, 44.47740004971584], [11.361008905124546, 44.477123764307244], [11.361009050213166, 44.47712368932469], [11.362058677438144, 44.47656917142158], [11.362058763034089, 44.476569124593254], [11.363639060104415, 44.47574899475195], [11.36364064541939, 44.47574801832114], [11.363641982673148, 44.47574686720408], [11.363643034845268, 44.4757455732682], [11.363643772807524, 44.475744172334736], [11.363644176130247, 44.47574270318701], [11.36364423364791, 44.4757412064968], [11.363643943768226, 44.475739723698325], [11.363643314516224, 44.47573829584129], [11.363642363312085, 44.47573696245435], [11.363641116488878, 44.47573576045084], [11.363639608563565, 44.475734723106946], [11.36363788128142, 44.47573387914042], [11.36363598246037, 44.47573325191551], [11.363633964667194, 44.47573285879626], [11.363631883762299, 44.47573271066578]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Via;Adelaide Ristori;1959-04-17;Strade (74);da via San Donato a via Andreini;67;Delibera del Consiglio Comunale 17 aprile 1959;Via Adelaide Ristori;Ristori;Attrice drammatica;Adelaide Ristori;SI;2 - Delibere dal 1947 al 1959;25 ottobre 1958;Adelaide Ristori;Cividale del Friuli (UD), 1822 - Torino, 1906;https://drive.google.com/uc?export=download&id=1C6yYvafl4zaA0Ns7i2bI6xKHP7oMeuvK;44.5026233279, 11.3705413696;"{""coordinates"": [[[[11.369537366911715, 44.502999037634204], [11.370682617696199, 44.50262485070564], [11.37068270489085, 44.50262482361834], [11.37176939522985, 44.50227691411687], [11.37176954906085, 44.502276864214274], [11.373055928941117, 44.5018489433273], [11.373056462531828, 44.50184875420164], [11.373214948184678, 44.501789354392685], [11.373383432441242, 44.501743010314335], [11.37368347233005, 44.5017102211707], [11.373685601727676, 44.501709850171345], [11.373687608766367, 44.501709220188076], [11.373689432468026, 44.501708350361135], [11.373691017424726, 44.50170726711774], [11.373692315482122, 44.50170600336909], [11.373693287202496, 44.501704597510575], [11.373693903062943, 44.50170309225516], [11.373694144352344, 44.50170153333571], [11.373694003739846, 44.50169996811548], [11.373693485497586, 44.50169844414916], [11.373692605370884, 44.5016970077381], [11.37369139009988, 44.50169570252348], [11.373689876607083, 44.50169456816048], [11.373688110875612, 44.50169363911344], [11.373686146552117, 44.50169294360875], [11.373684043316885, 44.50169250277734], [11.373681865070628, 44.501692330012574], [11.373679677993051, 44.5016924305634], [11.37337829059505, 44.501725366416935], [11.373376965183322, 44.50172556351301], [11.373375677313707, 44.50172586200589], [11.373205261435087, 44.50177273582885], [11.373204496182435, 44.50177296768763], [11.373203938268329, 44.501773162814644], [11.373045036032087, 44.50183272072796], [11.371759010973335, 44.502260524223345], [11.370672348039633, 44.502608422067766], [11.37067226167893, 44.502608450786106], [11.36953830597776, 44.502978947977724], [11.369380065391418, 44.5027311808188], [11.369313835182409, 44.502627151222285], [11.369312971321158, 44.50262601561543], [11.369311888417387, 44.502624980627466], [11.369293837912284, 44.50261010745786], [11.369292514312768, 44.50260916661516], [11.36929101047389, 44.5026083765666], [11.36928935961713, 44.50260775476527], [11.369287598211745, 44.50260731494742], [11.36928576516914, 44.50260706682914], [11.369258541603976, 44.502604850343715], [11.369256560343517, 44.502604801181064], [11.369254592954773, 44.50260497575732], [11.369252688461836, 44.502605369722325], [11.369216429094694, 44.50261514331464], [11.369215586302156, 44.5026153948893], [11.369215410666502, 44.50261545623055], [11.368852324923246, 44.50274048685367], [11.368850440448373, 44.50274128765664], [11.368848778893732, 44.50274231046946], [11.368847390739216, 44.5027435242179], [11.368846318158523, 44.502744892026925], [11.368845593737875, 44.50274637234099], [11.368845239486008, 44.50274792018649], [11.368845266165522, 44.50274948853815], [11.368845672965888, 44.5027510297477], [11.36884644752809, 44.50275249699142], [11.368847566320078, 44.50275384569282], [11.368848995351708, 44.502755034876834], [11.368850691207399, 44.50275602841468], [11.36885260236515, 44.50275679612158], [11.36885467076182, 44.502757314673715], [11.368856833557182, 44.502757568316895], [11.368859025043049, 44.50275754934513], [11.368861178639596, 44.50275725833482], [11.368863228918114, 44.50275670412719], [11.36922581353253, 44.50263184761714], [11.369258716009776, 44.502622977825546], [11.369278058543472, 44.50262455304088], [11.369291707044127, 44.502635799443], [11.369357187797503, 44.502738652838794], [11.369515388249901, 44.50298635987278], [11.369087026047012, 44.50312352811958], [11.369086949501632, 44.50312355278666], [11.36840005013326, 44.50333959056228], [11.368398558834, 44.50334014742104], [11.368397184820154, 44.50334084183311], [11.368268434919159, 44.503415632720376], [11.36826686441845, 44.503416721938706], [11.3681805970892, 44.5034878581501], [11.368179602935276, 44.50348879369762], [11.368178789946384, 44.503489814933204], [11.368028055718726, 44.503711269576364], [11.368027303463906, 44.503712654860095], [11.368026880081985, 44.50371410985834], [11.368026797122203, 44.503715594880944], [11.3680270568476, 44.50371706941876], [11.368027652173284, 44.50371849324862], [11.368028566859705, 44.50371982753062], [11.368029775955613, 44.50372103586756], [11.368031246478719, 44.5037220852978], [11.368032938315382, 44.50372294719453], [11.368034805314865, 44.50372359804646], [11.368036796548237, 44.503724020099334], [11.368038857697655, 44.50372420184022], [11.368040932538069, 44.503724138311476], [11.368042964470957, 44.50372383124608], [11.368044898068256, 44.503723289020286], [11.368046680584344, 44.50372252642524], [11.368048263394883, 44.50372156426337], [11.368049603323204, 44.50372042878097], [11.368050663818098, 44.503719150952314], [11.368200675569184, 44.50349875910008], [11.368285138298559, 44.50342911201462], [11.368411717248735, 44.50335557939209], [11.369097143737788, 44.50314000456164], [11.369097220283182, 44.503139979894556], [11.369537230431382, 44.50299908003039], [11.369537314625415, 44.50299905465468], [11.369537366911715, 44.502999037634204]]]], ""type"": ""MultiPolygon""}"
